Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId,P1_x_next,P1_y_next,P2_x_next,P2_y_next
60.0,ToastandButter3x,Kayn,0.0,0.0,0.2264,0.5154666666666666,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,0.0,0.41833333333333333,0.6826666666666666,200.0,JUNGLE,3818.207039959986,NA1_5321113366,0.23466666666666666,0.5514,0.5572666666666667,0.6722
120.0,ToastandButter3x,Kayn,0.0,4.0,0.23466666666666666,0.5514,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,8.0,0.5572666666666667,0.6722,200.0,JUNGLE,5167.133150984209,NA1_5321113366,0.5301333333333333,0.23366666666666666,0.7664,0.5503333333333333
180.0,ToastandButter3x,Kayn,0.0,16.0,0.5301333333333333,0.23366666666666666,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,16.0,0.7664,0.5503333333333333,200.0,JUNGLE,5926.418479992785,NA1_5321113366,0.05173333333333333,0.067,0.956,0.9593333333333334
240.0,ToastandButter3x,Kayn,1.0,24.0,0.05173333333333333,0.067,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,20.0,0.956,0.9593333333333334,200.0,JUNGLE,19056.240998685967,NA1_5321113366,0.16566666666666666,0.5983333333333334,0.5022666666666666,0.6429333333333334
300.0,ToastandButter3x,Kayn,1.0,32.0,0.16566666666666666,0.5983333333333334,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,20.0,0.5022666666666666,0.6429333333333334,200.0,JUNGLE,5093.128900783879,NA1_5321113366,0.5106666666666667,0.32893333333333336,0.8410666666666666,0.17346666666666666
360.0,ToastandButter3x,Kayn,1.0,40.0,0.5106666666666667,0.32893333333333336,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,28.0,0.8410666666666666,0.17346666666666666,200.0,JUNGLE,5477.240180967054,NA1_5321113366,0.6910666666666667,0.24693333333333334,0.7502666666666666,0.8926666666666667
420.0,ToastandButter3x,Kayn,3.0,40.0,0.6910666666666667,0.24693333333333334,100.0,JUNGLE,Corey mfkn brah,Nunu,1.0,28.0,0.7502666666666666,0.8926666666666667,200.0,JUNGLE,9726.620173523792,NA1_5321113366,0.6637333333333333,0.2928,0.28213333333333335,0.6786666666666666
480.0,ToastandButter3x,Kayn,3.0,44.0,0.6637333333333333,0.2928,100.0,JUNGLE,Corey mfkn brah,Nunu,1.0,36.0,0.28213333333333335,0.6786666666666666,200.0,JUNGLE,8140.339059277568,NA1_5321113366,0.7575333333333333,0.4614,0.6720666666666667,0.47626666666666667
540.0,ToastandButter3x,Kayn,3.0,52.0,0.7575333333333333,0.4614,100.0,JUNGLE,Corey mfkn brah,Nunu,1.0,42.0,0.6720666666666667,0.47626666666666667,200.0,JUNGLE,1301.250552353389,NA1_5321113366,0.5212,0.25093333333333334,0.809,0.131
600.0,ToastandButter3x,Kayn,3.0,53.0,0.5212,0.25093333333333334,100.0,JUNGLE,Corey mfkn brah,Nunu,1.0,48.0,0.809,0.131,200.0,JUNGLE,4676.846159539567,NA1_5321113366,0.793,0.38793333333333335,0.736,0.4242
660.0,ToastandButter3x,Kayn,4.0,61.0,0.793,0.38793333333333335,100.0,JUNGLE,Corey mfkn brah,Nunu,2.0,52.0,0.736,0.4242,200.0,JUNGLE,1013.3908426663428,NA1_5321113366,0.12153333333333333,0.7836,0.5383333333333333,0.6814666666666667
